quantity,productName,Card_Number,Sales_Channel_Effort,Pressure_Index,Temperature_Condition,Phone_Number,Date,Age
11,Item_Zeta_5,"3803217152","Fair","Normal","Medium","0548903872","2023-09-27T15:22:28.224Z","31"
14,Assembly_Omicron_14,"2278935296","Fair","Normal","Very_High","0572072000","2023-11-01T21:15:44Z","39"
15,Part_Nu_12,"3688455936","Fair","Strong","High","0759217728","2023-08-26T15:37:12.960Z","36"
6,Piece_Theta_7,"5103455232","Fair","Weak","High","0210015712","2023-10-26T14:03:21.984Z","26"
23,Assembly_Omicron_14,"2552441856","Fair","Normal","High","0699838400","2023-10-14T00:20:08.320Z","28"
1,Assembly_Omicron_14,"0814449792","Excellent","Weak","Low","0731352000","2023-10-14T08:46:57.024Z","42"
10,Device_Delta_3,"2329368064","Fair","Normal","Low","0611891776","2023-08-05T22:33:58.016Z","27"
9,Item_Zeta_5,"0357806688","Fair","Normal","Medium","0759486784","2023-10-14T13:44:02.816Z","51"
2,Gear_Mu_11,"2232949504","Fair","Normal","Low","0610466240","2023-07-24T09:30:03.648Z","32"
15,Piece_Theta_7,"5130102272","Poor","Strong","High","0738060736","2023-08-01T07:55:10.208Z","31"
6,Unit_Eta_6,"2400273920","Fair","Weak","High","0523536032","2023-09-13T02:36:49.536Z","34"
8,Widget_Alpha_0,"4035857920","Fair","Weak","High","0230596336","2023-11-07T22:23:16.992Z","27"
25,Part_Nu_12,"3953159936","Fair","Strong","Very_High","0620577216","2023-08-26T13:26:08.640Z","34"
16,Machine_Pi_15,"1360237952","Fair","Normal","Very_High","0694118080","2023-10-15T17:28:39.680Z","37"
7,Apparatus_Gamma_2,"3402830592","Fair","Normal","Low","0845880000","2023-07-25T01:26:53.184Z","41"
22,Engine_Rho_16,"3483599360","Poor","Strong","High","0926999232","2023-06-20T12:07:35.168Z","39"
4,Module_Lambda_10,"5585865216","Fair","Weak","Medium","0308587552","2023-10-05T21:30:42.048Z","33"
14,Gear_Mu_11,"1319516544","Fair","Weak","Medium","0424719552","2023-11-13T08:02:24.384Z","37"
9,Gadget_Beta_1,"2662107392","Fair","Weak","High","0314019744","2023-10-30T13:11:33.120Z","31"
12,Element_Xi_13,"2187580416","Fair","Normal","Very_High","0527116832","2023-11-01T05:45:07.328Z","31"
20,Assembly_Omicron_14,"6019847168","Fair","Normal","High","0400709696","2023-08-22T00:23:28Z","22"
15,Apparatus_Gamma_2,"1864590080","Fair","Normal","Medium","0619488128","2023-10-04T16:55:50.528Z","34"
5,Device_Delta_3,"0862989440","Fair","Strong","Low","0932960512","2023-09-22T01:16:50.048Z","54"
13,Device_Delta_3,"4587707392","Fair","Strong","Medium","0828143488","2023-07-17T12:42:51.776Z","41"
13,System_Iota_8,"0859134464","Fair","Normal","Medium","0761784320","2023-09-10T20:13:07.968Z","42"
15,Gadget_Beta_1,"7806757888","Fair","Normal","High","0451946336","2023-09-16T06:35:56.800Z","22"
20,Unit_Eta_6,"4280632832","Fair","Normal","Very_High","0367448672","2023-10-23T21:41:06.688Z","25"
13,Tool_Epsilon_4,"4626654208","Poor","Strong","High","0822202560","2023-08-18T18:08:54.272Z","40"
10,Assembly_Omicron_14,"2025801600","Fair","Normal","High","0559003776","2023-09-02T09:44:56.576Z","38"
7,Piece_Theta_7,"0453952256","Fair","Weak","Low","0753513920","2023-10-12T05:20:12.288Z","39"
3,Gadget_Beta_1,"3320768512","Fair","Strong","Medium","0812360896","2023-07-30T15:19:24.928Z","36"
21,Component_Kappa_9,"3368610816","Fair","Strong","High","0845860096","2023-08-17T00:21:03.616Z","32"
10,Piece_Theta_7,"3493086208","Fair","Weak","Low","0364291200","2023-10-03T07:34:48.576Z","27"
9,System_Iota_8,"1211712896","Fair","Normal","Low","0379383136","2023-09-28T14:07:48.224Z","35"
19,Assembly_Omicron_14,"0475276992","Fair","Strong","High","0662010304","2023-10-29T02:47:10.080Z","40"
24,Engine_Rho_16,"5691520000","Fair","Strong","Very_High","0443420800","2023-10-08T11:35:19.808Z","25"
14,Assembly_Omicron_14,"2118930816","Fair","Weak","High","0106710520","2023-12-05T02:52:18.304Z","24"
21,Module_Lambda_10,"6982400512","Fair","Normal","High","0390581184","2023-08-28T09:16:19.328Z","21"
16,Assembly_Omicron_14,"3642046720","Fair","Normal","Low","0626383488","2023-10-11T11:12:18.432Z","33"
23,Part_Nu_12,"2367023616","Fair","Weak","Very_High","0163806112","2023-11-22T15:17:57.888Z","27"
15,Gear_Mu_11,"7964371456","Fair","Normal","Medium","0512454208","2023-08-21T18:20:50.048Z","25"
5,Item_Zeta_5,"1302065536","Fair","Normal","Medium","0698221312","2023-10-25T08:07:40.800Z","46"
7,Assembly_Omicron_14,"2319555328","Fair","Weak","Medium","0409149536","2023-10-12T12:28:22.400Z","27"
7,Item_Zeta_5,"6263484928","Fair","Strong","Low","0713258944","2023-07-02T17:28:22.272Z","33"
6,Part_Nu_12,"4230670336","Fair","Normal","Medium","0580537536","2023-09-30T08:34:58.176Z","33"
15,Element_Xi_13,"5089857024","Fair","Weak","Medium","0123569432","2023-09-11T02:57:16.288Z","20"
1,Piece_Theta_7,"2693678848","Fair","Weak","Very_Low","0521191424","2023-08-13T21:23:06.368Z","24"
22,Element_Xi_13,"6860658688","Fair","Normal","Very_High","0620078720","2023-10-04T00:48:05.632Z","28"
13,Apparatus_Gamma_2,"2261881600","Fair","Normal","Medium","0318898944","2023-10-26T09:15:00.480Z","31"
14,Item_Zeta_5,"6656153600","Fair","Weak","High","0355478752","2023-09-26T02:44:49.792Z","25"
20,System_Iota_8,"8164060160","Fair","Normal","High","0500508896","2023-08-05T04:28:15.232Z","24"
6,Apparatus_Gamma_2,"1793762688","Fair","Weak","Medium","0379324320","2023-11-15T21:47:22.496Z","37"
6,Device_Delta_3,"0916675008","Fair","Normal","Low","0703450176","2023-09-27T17:09:30.752Z","50"
11,Device_Delta_3,"0995383232","Fair","Weak","Medium","0641290688","2023-09-13T02:10:36.672Z","24"
18,Unit_Eta_6,"6121570816","Poor","Strong","Very_High","0764608000","2023-11-13T21:13:12.448Z","48"
2,Machine_Pi_15,"1149101824","Fair","Weak","Low","0809840960","2023-07-24T08:42:00.064Z","45"
13,System_Iota_8,"4131937024","Poor","Normal","Medium","0665548608","2023-07-26T14:19:49.120Z","29"
18,Module_Lambda_10,"3114097920","Fair","Normal","Medium","0839822912","2023-07-11T09:22:03.392Z","34"
20,Apparatus_Gamma_2,"0797336384","Fair","Strong","High","0739758336","2023-09-30T08:10:56.384Z","33"
21,Assembly_Omicron_14,"2775476480","Fair","Normal","High","0472924544","2023-10-31T14:53:49.952Z","31"
20,Part_Nu_12,"1056269120","Fair","Normal","High","0569438912","2023-11-21T15:22:43.584Z","43"
3,Part_Nu_12,"1378080000","Excellent","Strong","Very_Low","0884407744","2023-06-06T13:44:49.920Z","38"
16,Unit_Eta_6,"5155847680","Poor","Strong","High","0548923264","2023-08-14T07:43:30.816Z","29"
3,Module_Lambda_10,"2781769984","Fair","Normal","Low","0687328768","2023-07-13T21:50:33.984Z","34"
13,Element_Xi_13,"4927347712","Fair","Normal","Low","0823862912","2023-07-11T14:01:40.608Z","33"
11,Unit_Eta_6,"3544627968","Fair","Normal","High","0809022720","2023-06-19T02:59:39.648Z","27"
17,Gear_Mu_11,"3121523200","Fair","Normal","Medium","0325299872","2023-08-19T00:26:49.728Z","24"
10,Assembly_Omicron_14,"1211318400","Fair","Normal","Medium","0688121664","2023-09-27T00:37:44.064Z","33"
19,Gear_Mu_11,"2719682560","Poor","Strong","High","0884301184","2023-08-11T23:32:46.720Z","37"
13,Unit_Eta_6,"7800514560","Poor","Strong","High","0930522944","2023-06-20T00:02:19.264Z","47"
10,Engine_Rho_16,"7451265024","Fair","Normal","Very_High","0526061536","2023-10-01T05:07:02.784Z","29"
5,Gadget_Beta_1,"3531940608","Fair","Normal","Medium","0826314560","2023-07-06T07:45:42.912Z","32"
9,Unit_Eta_6,"1493740416","Fair","Normal","Medium","0783900864","2023-07-14T00:08:11.520Z","29"
22,Gear_Mu_11,"4880353792","Fair","Normal","Very_High","0254706624","2023-11-12T08:50:51.520Z","24"
18,Machine_Pi_15,"1856912640","Fair","Strong","High","0608132096","2023-09-26T13:13:58.528Z","36"
1,Assembly_Omicron_14,"1123923328","Fair","Weak","Low","0631083712","2023-07-17T01:05:59.808Z","33"
12,Apparatus_Gamma_2,"4208213504","Fair","Normal","Medium","0680592512","2023-10-10T18:31:47.456Z","29"
15,Assembly_Omicron_14,"0858006208","Fair","Normal","Medium","0701970304","2023-10-10T22:34:16.448Z","36"
10,Element_Xi_13,"3970595584","Fair","Normal","High","0835250496","2023-09-18T21:04:36.352Z","42"
14,Assembly_Omicron_14,"2763081728","Fair","Weak","Very_High","0318966752","2023-10-22T07:16:25.728Z","27"
15,System_Iota_8,"4412565504","Fair","Strong","Medium","0863710848","2023-07-04T02:49:24.224Z","40"
17,System_Iota_8,"4544939520","Fair","Normal","Medium","0419773984","2023-08-28T00:51:41.696Z","26"
20,Assembly_Omicron_14,"1924246784","Fair","Normal","High","0398074304","2023-11-06T03:03:41.312Z","36"
13,Machine_Pi_15,"2979155200","Fair","Normal","High","0634528320","2023-10-21T13:34:44.736Z","34"
13,Widget_Alpha_0,"4750565888","Fair","Normal","Medium","0477085664","2023-09-02T05:24:59.008Z","26"
13,Machine_Pi_15,"2627258624","Fair","Strong","Low","0912639936","2023-08-04T04:19:54.496Z","43"
2,Tool_Epsilon_4,"3993263360","Fair","Weak","Medium","0498153600","2023-08-13T01:56:33.920Z","28"
1,Gadget_Beta_1,"1922321920","Excellent","Weak","Low","0301740160","2023-09-11T01:42:59.840Z","28"
